Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,17.805401,18.226801,17.805401,18.226801,6.828035,97168521223
2000-01-05,17.858000,19.174999,17.858000,18.700899,7.005640,149925508353
2000-01-06,18.542900,18.753599,17.752701,17.910700,6.709618,74480726535
2000-01-07,17.173201,17.963400,16.857100,17.858000,6.689878,87599471028
2000-01-10,17.910700,18.542900,17.647301,18.437500,6.906967,78718785880
2000-01-11,19.017000,19.227699,17.542000,17.910700,6.709618,78772033842
2000-01-12,17.805401,18.121401,17.436600,17.436600,6.532013,41878878974
2000-01-13,17.647301,18.437500,17.383900,17.963400,6.729361,91567972662
2000-01-14,18.068800,18.226801,17.383900,17.594601,6.591200,38590181
2000-01-17,17.963400,18.542900,17.752701,18.226801,6.828035,66482427
2000-01-18,18.226801,18.226801,17.700001,17.752701,6.650429,29812552
2000-01-19,17.647301,18.332100,17.647301,17.805401,6.670171,62905296863
2000-01-20,18.016100,19.017000,18.016100,19.017000,7.124053,172525505
2000-01-21,19.438400,20.333900,19.438400,19.912500,7.459523,204731206158
2000-01-24,20.228500,21.229500,19.912500,20.913401,7.834476,164266246972
2000-01-25,20.492001,20.755400,20.070499,20.492001,7.676613,72595917
2000-01-26,20.755400,21.387501,20.386600,21.387501,8.012080,131025737639
2000-01-27,21.387501,21.598200,20.808001,20.808001,7.794991,67912891777
2000-01-28,20.650000,20.702700,19.754499,20.017900,7.499007,59100205
2000-01-31,20.017900,20.439301,20.017900,20.175900,7.558196,44063449
2000-02-01,20.439301,21.545500,20.386600,21.545500,8.071270,115301210620
2000-02-02,21.545500,21.545500,21.545500,21.545500,8.071270,0
2000-02-03,21.545500,21.545500,21.545500,21.545500,8.071270,0
2000-02-04,21.545500,21.545500,21.545500,21.545500,8.071270,0
2000-02-07,21.545500,21.545500,21.545500,21.545500,8.071270,0
2000-02-08,21.545500,21.545500,21.545500,21.545500,8.071270,0
2000-02-09,22.651800,23.020599,22.177700,23.020599,8.623864,134096237560
2000-02-10,23.020599,23.652700,22.757099,23.073200,8.643569,125389891334
2000-02-11,23.231300,24.653601,23.231300,24.653601,9.235610,90754813529
2000-02-14,24.758900,24.758900,23.600000,23.968800,8.979074,69766437
2000-02-15,24.126801,25.075001,24.126801,24.811600,9.294798,72362010634
2000-02-16,25.654499,26.339300,25.285700,26.339300,9.867099,78954763
2000-02-17,27.129499,28.183001,27.129499,28.183001,10.557777,49706652468
2000-02-18,28.973200,29.236601,26.339300,26.866100,10.064446,132848806192
2000-02-21,27.392900,27.656300,26.602699,26.602699,9.965773,122738687
2000-02-22,25.180401,25.707100,24.758900,24.758900,9.275056,43635836
2000-02-23,23.705400,25.233000,23.705400,24.179501,9.058005,145049312260
2000-02-24,24.232201,24.758900,23.705400,24.495501,9.176386,110979849592
2000-02-25,24.390200,24.390200,22.809799,22.809799,8.544896,73377468
2000-02-28,22.809799,22.809799,22.809799,22.809799,8.544896,0
2000-02-29,22.809799,23.125900,21.334801,22.704500,8.505448,114687464
2000-03-01,23.125900,23.336599,22.388399,22.757099,8.525152,159254178484
2000-03-02,24.284800,24.284800,22.704500,22.704500,8.505448,140136212
2000-03-03,22.651800,23.231300,22.651800,22.704500,8.505448,89941638
2000-03-06,21.650900,21.650900,20.333900,20.333900,7.617387,69698152413
2000-03-07,20.123199,21.334801,20.123199,21.018700,7.873922,159784748
2000-03-08,20.966101,20.966101,20.281300,20.386600,7.637130,75272432
2000-03-09,20.808001,21.545500,20.755400,21.229500,7.952891,120103406336
2000-03-10,21.545500,21.598200,20.017900,20.017900,7.499007,79555959409
2000-03-13,19.227699,19.385700,18.648199,18.648199,6.985897,39336708
2000-03-14,18.174101,19.227699,17.489300,19.227699,7.202988,91269485837
2000-03-15,19.017000,19.438400,17.910700,17.910700,6.709618,46617789146
2000-03-16,17.173201,17.752701,16.699100,17.120501,6.413598,48110120752
2000-03-17,17.383900,18.174101,16.962500,17.542000,6.571497,98092805186
2000-03-20,16.962500,17.542000,16.962500,17.015200,6.374150,99079296687
2000-03-21,16.857100,18.174101,16.751801,18.068800,6.768845,124260761156
2000-03-22,17.858000,18.806200,17.594601,17.752701,6.650429,80304686644
2000-03-23,18.384800,18.964300,18.068800,18.964300,7.104312,58786757
2000-03-24,20.281300,20.281300,19.227699,19.596399,7.341107,158106135027
2000-03-27,19.701799,20.544600,18.964300,19.807100,7.420040,103541245
2000-03-28,20.123199,20.492001,19.385700,19.385700,7.262175,76434479
2000-03-29,19.227699,19.385700,18.542900,18.648199,6.985897,55577502
